DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2002-0488-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Scarborough, Filey towns (North Yorkshire district, England province)",Heavy rain,,No,No,No,,60,Km2,,,,2002,8,10,2002,8,12,,,250,,250,,,,,,,59.03314408,"[{""adm2_code"":40123,""adm2_name"":""North Yorkshire""}]",2005-09-23,2023-09-25
2002-0671-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Jeanett,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Norfolkshire, Suffolkshire, Salop districts (England province), Oxford city (Oxfordshire district, England province), Powys district (Wales province)",,,No,No,No,,155,Kph,,,,2002,10,26,2002,10,28,7,,,,,,,250000,423491,400000,677585,59.03314408,"[{""adm2_code"":40122,""adm2_name"":""Norfolkshire""},{""adm2_code"":40127,""adm2_name"":""Oxfordshire""},{""adm2_code"":40128,""adm2_name"":""Salop""},{""adm2_code"":40132,""adm2_name"":""Suffolk""},{""adm2_code"":40184,""adm2_name"":""Powys""}]",2008-03-21,2023-09-25
2002-0774-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Elgin, Forres, Rothes, Craigellachie, Dufftown, Aberdeen towns,, Grampian district, Scotland province), Tayside district (Scotland province), Devonshire and Cornwall districts (England province)",Heavy rain,,No,No,No,,,Km2,,,"Lossie, Mosset Burn, Divvie, Spey, South Esk, Dee, Isla, Rivers: Exe, Stennac, Middle and Lower River Stour",2002,11,14,2002,11,25,,,300,,300,,,,,,,59.03314408,"[{""adm2_code"":40101,""adm2_name"":""Cornwall""},{""adm2_code"":40104,""adm2_name"":""Devonshire""},{""adm2_code"":40171,""adm2_name"":""Grampian""},{""adm2_code"":40177,""adm2_name"":""Tayside""}]",2005-09-26,2023-09-25
2003-0391-GBR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"England, Wales provinces",,,No,No,No,,,°C,,,,2003,7,,2003,7,,301,,,,,,,,,,,60.37325107,"[{""adm1_code"":3182,""adm1_name"":""England""},{""adm1_code"":3186,""adm1_name"":""Wales""}]",2007-04-03,2023-09-25
2004-0423-GBR,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Kastel Boterel, Tintagel, Camelford villages (Cornwall district, England province)",Torrential rains,,No,No,No,,,Km2,,,"Valency, Jordan, Paradise, Camel",2004,8,16,2004,8,17,,8,1000,,1008,,,,,96000,154865,61.98958593,"[{""adm2_code"":40101,""adm2_name"":""Cornwall""}]",2004-08-24,2023-09-25
2005-0011-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Erwin,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Appleby, Longtown, Shap,Carlisle towns (Cumbria district, England province), West Yorkshire district (England province), North Yorkshire district (England province), Haydon Brige town (Northumberland district, England province), Peebles, Jedburgh towns (Borders district, Scotland province), Grampian district (Scotland province), Wales province",,Transport accident,No,No,No,,140,Kph,,,,2005,1,7,2005,1,8,3,,3000,,3000,,,500000,780120,650000,1014155,64.09274026,"[{""adm1_code"":3186,""adm1_name"":""Wales""},{""adm2_code"":40102,""adm2_name"":""Cumbria""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40125,""adm2_name"":""Northumberland""},{""adm2_code"":40138,""adm2_name"":""West Yorkshire""},{""adm2_code"":40167,""adm2_name"":""Borders""},{""adm2_code"":40171,""adm2_name"":""Grampian""}]",2006-12-14,2023-09-25
2005-0655-GBR,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Avon, Bedfordshire, Berkshire, Buckinghamshire, Cambridgeshire, Cornwall, Devonshire, Dorsetshire, East Sussex, Essex, Gloucestershire, Greater London, Hampshire, Hertfordshire, Isle of Wight, Kent, Norfolkshire, Northamptonshire, Oxfordshire, Somersetshire, Suffolk, Surrey, West Sussex, Wiltshire districts (England province)",,,No,No,No,,,°C,,,,2005,11,25,2005,11,27,,,,,,,,,,,,64.09274026,"[{""adm2_code"":40094,""adm2_name"":""Avon""},{""adm2_code"":40095,""adm2_name"":""Bedfordshire""},{""adm2_code"":40096,""adm2_name"":""Berkshire""},{""adm2_code"":40097,""adm2_name"":""Buckinghamshire""},{""adm2_code"":40098,""adm2_name"":""Cambridgeshire""},{""adm2_code"":40101,""adm2_name"":""Cornwall""},{""adm2_code"":40104,""adm2_name"":""Devonshire""},{""adm2_code"":40105,""adm2_name"":""Dorsetshire""},{""adm2_code"":40107,""adm2_name"":""East Sussex""},{""adm2_code"":40108,""adm2_name"":""Essex""},{""adm2_code"":40109,""adm2_name"":""Gloucestershire""},{""adm2_code"":40110,""adm2_name"":""Greater London""},{""adm2_code"":40112,""adm2_name"":""Hampshire""},{""adm2_code"":40114,""adm2_name"":""Hertfordshire""},{""adm2_code"":40116,""adm2_name"":""Isle of Wight""},{""adm2_code"":40117,""adm2_name"":""Kent""},{""adm2_code"":40122,""adm2_name"":""Norfolkshire""},{""adm2_code"":40124,""adm2_name"":""Northamptonshire""},{""adm2_code"":40127,""adm2_name"":""Oxfordshire""},{""adm2_code"":40129,""adm2_name"":""Somersetshire""},{""adm2_code"":40132,""adm2_name"":""Suffolk""},{""adm2_code"":40133,""adm2_name"":""Surrey""},{""adm2_code"":40137,""adm2_name"":""West Sussex""},{""adm2_code"":40139,""adm2_name"":""Wiltshire""}]",2007-01-17,2023-09-25
2005-0713-GBR,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Cleveland, Durham, Northumberland, Tyne and Wear, West Midlands districts (England province), Scotland province",,Snow/ice,No,No,No,,-11,°C,,,,2005,12,27,2005,12,30,1,,,,,,,,,,,64.09274026,"[{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm2_code"":40100,""adm2_name"":""Cleveland""},{""adm2_code"":40106,""adm2_name"":""Durham""},{""adm2_code"":40125,""adm2_name"":""Northumberland""},{""adm2_code"":40134,""adm2_name"":""Tyne and Wear""},{""adm2_code"":40136,""adm2_name"":""West Midlands""}]",2007-01-12,2023-09-25
2005-0819-GBR,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Gero,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,All country selected/affected (no data),,,No,No,No,,200,Kph,,,,2005,1,11,2005,1,12,7,,,,,,,25000,39006,50000,78012,64.09274026,"[{""adm1_code"":3182,""adm1_name"":""England""},{""adm1_code"":3183,""adm1_name"":""Northern Ireland""},{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm1_code"":3186,""adm1_name"":""Wales""}]",2007-02-21,2023-09-25
2007-0019-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Kyrill,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,All country affected,,,No,No,No,,160,Kph,,,,2007,1,18,2007,1,18,13,,,,,,,670000,984604,1200000,1763470,68.04767383,"[{""adm1_code"":3182,""adm1_name"":""England""},{""adm1_code"":3183,""adm1_name"":""Northern Ireland""},{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm1_code"":3186,""adm1_name"":""Wales""}]",2007-01-19,2023-09-25
2007-0201-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Leeds, Wakefield towns (West Yorkshire district, England province), North Yorkshire district (England province), Derbyshire, Hereford and Wor Leicestershire, Lincolnshire, Nottinghamshire, Salop, Staffordshire, Warwickshire, West Midlands districts (England province), Wales province, Northern Ireland province","Heavy rain, thunderstorms",Broken Dam/Burst bank,No,No,No,,23110,Km2,52.52,-0.76,"Ouse, Tame, Dearne",2007,6,15,2007,6,21,1,,200,,200,,,299000,439398,448000,658362,68.04767383,"[{""adm1_code"":3183,""adm1_name"":""Northern Ireland""},{""adm1_code"":3186,""adm1_name"":""Wales""},{""adm2_code"":40103,""adm2_name"":""Derbyshire""},{""adm2_code"":40113,""adm2_name"":""Hereford and Wor""},{""adm2_code"":40119,""adm2_name"":""Leicestershire""},{""adm2_code"":40120,""adm2_name"":""Lincolnshire""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40124,""adm2_name"":""Northamptonshire""},{""adm2_code"":40126,""adm2_name"":""Nottinghamshire""},{""adm2_code"":40128,""adm2_name"":""Salop""},{""adm2_code"":40131,""adm2_name"":""Staffordshire""},{""adm2_code"":40135,""adm2_name"":""Warwickshire""},{""adm2_code"":40136,""adm2_name"":""West Midlands""},{""adm2_code"":40138,""adm2_name"":""West Yorkshire""}]",2008-03-11,2023-09-25
2007-0247-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Sheffield, Doncaster, Rotherham, Nottinghamshire, Barnsley, Dinnington, Darfield towns, Treeton, Catcliffe villages (South Yorkshire district, England province), Ryedale town (North Yorkshire district, England province), Wafefield, Leeds, Calderdale towns (West Yorkshire district, England province), Lichfield town (Staffordshire district, England province), Grantham, Horncastle, Louth, Wainfleet, Lincoln towns (Lincolnshire district, England province), Wyre Forest, Pershore, Tenbury Wells (Hereford and Word district, England province), Gloucestershire district (England province), Salop district (England province), Hull, East Riding towns (Humberside district, England province), Omagh district (Northen Ireland province), Norfolk town (Norfolkshire district, England province), Earby town (Lancashire district, England province), Corwen town (Clwyd district, Wales province), Whiston town (Merseyside district, England province)",Heavy rain,,No,No,No,,27720,Km2,53.88,-0.91,"Waring, Deame, Don, Sheaf, Rother, Lud, Corve, Teme",2007,6,25,2007,7,3,6,,,30000,30000,,,3000000,4408674,4000000,5878232,68.04767383,"[{""adm2_code"":40109,""adm2_name"":""Gloucestershire""},{""adm2_code"":40113,""adm2_name"":""Hereford and Wor""},{""adm2_code"":40115,""adm2_name"":""Humberside""},{""adm2_code"":40118,""adm2_name"":""Lancashire""},{""adm2_code"":40120,""adm2_name"":""Lincolnshire""},{""adm2_code"":40121,""adm2_name"":""Merseyside""},{""adm2_code"":40122,""adm2_name"":""Norfolkshire""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40128,""adm2_name"":""Salop""},{""adm2_code"":40130,""adm2_name"":""South Yorkshire""},{""adm2_code"":40131,""adm2_name"":""Staffordshire""},{""adm2_code"":40138,""adm2_name"":""West Yorkshire""},{""adm2_code"":40165,""adm2_name"":""Omagh""},{""adm2_code"":40179,""adm2_name"":""Clwyd""}]",2008-03-11,2023-09-25
2007-0278-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Gloucestershire, Oxfordshire, Berkshire, Bedfordshire, Herefordshire, Warwickshire, Lincolnshire, Avon, Wiltshire districts (England province), Worcestershire (Hereford and Wor district, England province)",Hevay rains,Rain,No,No,No,,24650,Km2,52.07,-2.1,"Severnn, Tamise, Avon",2007,7,20,2007,7,24,7,,340000,,340000,,,3000000,4408674,4000000,5878232,68.04767383,"[{""adm2_code"":40094,""adm2_name"":""Avon""},{""adm2_code"":40095,""adm2_name"":""Bedfordshire""},{""adm2_code"":40096,""adm2_name"":""Berkshire""},{""adm2_code"":40109,""adm2_name"":""Gloucestershire""},{""adm2_code"":40113,""adm2_name"":""Hereford and Wor""},{""adm2_code"":40114,""adm2_name"":""Hertfordshire""},{""adm2_code"":40120,""adm2_name"":""Lincolnshire""},{""adm2_code"":40127,""adm2_name"":""Oxfordshire""},{""adm2_code"":40135,""adm2_name"":""Warwickshire""},{""adm2_code"":40139,""adm2_name"":""Wiltshire""}]",2008-03-11,2023-09-25
2007-0692-GBR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000fase,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Folkestone town (Kent district, England province)",,,No,No,No,,4.6,Moment Magnitude,51.085,1.009,,2007,4,28,2007,4,28,,1,4500,,4501,,,30000,44087,60000,88173,68.04767383,"[{""adm2_code"":40117,""adm2_name"":""Kent""}]",2008-04-17,2023-09-25
2008-0055-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"West Yorkshire, Lancashire, Merseyside, Lincolnshire, Gloucestershire, Wiltshire, North Yorkshire, Cambridgeshire, Kent districts (England province), Shropshire (Salop district, England province), Worcestershire (Hereford and Wor district, England province)",Heavy rain,,No,No,No,,55860,Km2,52.92,-1.65,"Severn, Avon, Leam, Frome, Stour, Ray, Aire, Dearne, Irwell, Rheidol, Calder, Alt, Dove, Ancholme, Ouse, Roch, Mersey",2008,1,15,2008,1,26,,,300,,300,,,,,,,70.66008903,"[{""adm2_code"":40098,""adm2_name"":""Cambridgeshire""},{""adm2_code"":40109,""adm2_name"":""Gloucestershire""},{""adm2_code"":40113,""adm2_name"":""Hereford and Wor""},{""adm2_code"":40117,""adm2_name"":""Kent""},{""adm2_code"":40118,""adm2_name"":""Lancashire""},{""adm2_code"":40120,""adm2_name"":""Lincolnshire""},{""adm2_code"":40121,""adm2_name"":""Merseyside""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40128,""adm2_name"":""Salop""},{""adm2_code"":40138,""adm2_name"":""West Yorkshire""},{""adm2_code"":40139,""adm2_name"":""Wiltshire""}]",2008-02-11,2023-09-25
2008-0165-GBR,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,Johanna,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,All country affected,,Flood,No,No,No,,130,Kph,,,,2008,3,10,2008,3,10,,,,,,,,,,,,70.66008903,"[{""adm1_code"":3182,""adm1_name"":""England""},{""adm1_code"":3183,""adm1_name"":""Northern Ireland""},{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm1_code"":3186,""adm1_name"":""Wales""}]",2008-04-24,2023-09-25
2008-0381-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Bridgend city (Mid Glamorgan district), Port Talbot, Swansea cities (West Glamorgan district), Cardiff city (South Glamorga district) (Wales province), Morpeth city (Northumberland district), Ryedale, Hambleton, Richmondshire, Pickering towns (North Yorkshire district), Tenbury Wells town (Salop district) (England province) ; Hereford and Wo district (England province)",Torrential rain,Rain,No,No,No,,47370,Km2,53.26,-1.8,,2008,9,6,2008,9,8,8,,3000,,3000,,,,,50000,70761,70.66008903,"[{""adm2_code"":40113,""adm2_name"":""Hereford and Wor""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40125,""adm2_name"":""Northumberland""},{""adm2_code"":40128,""adm2_name"":""Salop""},{""adm2_code"":40183,""adm2_name"":""Mid Glamorgan""},{""adm2_code"":40185,""adm2_name"":""South Glamorgan""},{""adm2_code"":40186,""adm2_name"":""West Glamorgan""}]",2008-10-21,2023-09-25
2009-0497-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Cockermouth, Keswick, Workington, Burneside, Kendal (Cumbria district, England province)",Heavy rains,,No,No,No,,106600,Km2,54,-1.66,,2009,11,19,2009,11,22,3,,3900,,3900,,,333000,472952,484000,687413,70.40886176,"[{""adm2_code"":40102,""adm2_name"":""Cumbria""}]",2009-12-03,2023-09-25
2009-0506-GBR,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Dorsetshire, Hampshire, Isle of Wight, Kent districts (England province)",,Flood,No,No,No,,160,Kph,,,,2009,11,13,2009,12,4,2,,180,,180,,,,,,,70.40886176,"[{""adm2_code"":40105,""adm2_name"":""Dorsetshire""},{""adm2_code"":40112,""adm2_name"":""Hampshire""},{""adm2_code"":40116,""adm2_name"":""Isle of Wight""},{""adm2_code"":40117,""adm2_name"":""Kent""}]",2010-01-12,2023-09-25
2009-0571-GBR,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Penzance area (Cornwall district, England province), Cumbria, Greater London, Greater Manchest, Kent districts (England province), Strathclyde, Lothian, Grampian districts (Scotland province)",,,No,No,No,,,°C,,,,2009,12,19,2009,12,23,3,47,,,47,,,,,,,70.40886176,"[{""adm2_code"":40101,""adm2_name"":""Cornwall""},{""adm2_code"":40102,""adm2_name"":""Cumbria""},{""adm2_code"":40110,""adm2_name"":""Greater London""},{""adm2_code"":40111,""adm2_name"":""Greater Manchest""},{""adm2_code"":40117,""adm2_name"":""Kent""},{""adm2_code"":40171,""adm2_name"":""Grampian""},{""adm2_code"":40173,""adm2_name"":""Lothian""},{""adm2_code"":40176,""adm2_name"":""Strathclyde""}]",2010-01-05,2023-09-25
2010-0088-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Xynthia,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,All country selected (no data),,,No,No,No,,,Kph,,,,2010,2,28,2010,2,28,,,,,,,,34,48,500,699,71.56359558,"[{""adm1_code"":3182,""adm1_name"":""England""},{""adm1_code"":3183,""adm1_name"":""Northern Ireland""},{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm1_code"":3186,""adm1_name"":""Wales""}]",2011-01-04,2023-09-25
2010-0615-GBR,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Highland district (Scotland province),,,No,No,No,,,°C,,,,2010,11,28,2010,12,1,,,,,,,,,,,,71.56359558,"[{""adm2_code"":40172,""adm2_name"":""Highland""}]",2010-12-01,2023-09-25
2012-0446-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Morpeth, Newburn, Cheshire, Rothbury, Gilling west villages (Northumberland district) (England province) ; North Yorkshire district (England province)","Heavy rains, hurricane Nadine",,No,No,No,,8507,Km2,54.04,-2.13,,2012,9,23,2012,9,27,3,,1500,,1500,,,,,81000,107498,75.3503857,"[{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40125,""adm2_name"":""Northumberland""}]",2013-03-28,2023-09-25
