year,min_temp_change,max_temp_change,total_temp_change,disaster_count
2002,,,,5.0
2011,-8.358333333333235,15.175000000000068,23.533333333333303,0.0
2020,-10.291666666666629,-23.108333333333235,33.399999999999864,3.0
2004,6.983333333333235,5.549999999999841,12.533333333333076,1.0
2007,4.225000000000023,-3.841666666666697,8.06666666666672,5.0
2005,3.1499999999999773,-5.616666666666674,8.766666666666652,4.0
1999,2.733333333333235,6.050000000000182,8.783333333333417,3.0
1997,-9.266666666666538,14.958333333333371,24.22499999999991,3.0
1998,4.725000000000023,-4.933333333333394,9.658333333333417,4.0
1990,-9.458333333333258,-5.93333333333328,15.391666666666538,8.0
2019,-1.7833333333335304,-9.958333333333485,11.741666666667015,3.0
2018,6.216666666666924,2.1333333333334394,8.350000000000364,2.0
2016,-11.841666666666697,17.649999999999864,29.49166666666656,0.0
2021,-0.341666666666697,3.050000000000182,3.391666666666879,1.0
2000,5.650000000000091,-7.9500000000000455,13.600000000000136,6.0
1949,6.883333333332985,-5.7666666666666515,12.649999999999636,0.0
2009,1.908333333333303,18.399999999999977,20.30833333333328,3.0
2003,-29.274999999999864,-22.858333333333235,52.1333333333331,1.0
1945,26.158333333333417,16.158333333333303,42.31666666666672,0.0
2015,2.9666666666665833,-0.3583333333334622,3.3250000000000455,2.0
1989,-6.599999999999795,-1.025000000000091,7.624999999999886,1.0
1994,0.49166666666667425,-4.841666666666583,5.3333333333332575,2.0
2008,-10.350000000000136,-0.5166666666665378,10.866666666666674,3.0
1995,17.0,10.649999999999977,27.649999999999977,1.0
1953,1.3916666666667652,-29.60000000000025,30.991666666667015,0.0
1988,-4.091666666666697,12.366666666666788,16.458333333333485,0.0
1983,-8.008333333333326,1.150000000000091,9.158333333333417,1.0
1959,-3.108333333333462,8.150000000000091,11.258333333333553,0.0
1938,2.733333333333462,1.1416666666665378,3.875,0.0
1921,5.25,-9.933333333333394,15.183333333333394,0.0
1957,-0.02500000000009095,4.883333333333553,4.908333333333644,0.0
2001,-18.01666666666665,-14.175000000000182,32.19166666666683,3.0
1898,-7.925000000000182,-7.508333333333326,15.433333333333508,0.0
1943,21.566666666666947,13.733333333333235,35.30000000000018,0.0
2012,0.9083333333331893,-2.25,3.1583333333331893,5.0
1992,-3.6749999999999545,7.391666666666879,11.066666666666833,0.0
2013,0.816666666666606,8.649999999999977,9.466666666666583,5.0
1934,-4.6749999999999545,-6.1666666666667425,10.841666666666697,0.0
1948,12.24166666666656,4.149999999999977,16.391666666666538,0.0
1971,-7.8333333333332575,-12.666666666666629,20.499999999999886,0.0
1961,-15.200000000000045,8.733333333333235,23.93333333333328,0.0
1976,14.991666666666788,0.900000000000091,15.891666666666879,1.0
1975,2.9166666666667425,9.724999999999909,12.641666666666652,0.0
1933,0.49166666666656056,-8.0,8.49166666666656,0.0
1967,-16.258333333333326,-22.43333333333328,38.691666666666606,0.0
1926,6.416666666666629,15.583333333333371,22.0,0.0
1982,9.983333333333462,-1.441666666666606,11.425000000000068,0.0
1991,-8.591666666666697,1.8999999999999773,10.491666666666674,2.0
1960,5.05833333333328,-9.841666666666583,14.899999999999864,0.0
1913,5.4833333333333485,6.416666666666629,11.899999999999977,0.0
1939,-0.5083333333333258,6.3250000000000455,6.833333333333371,0.0
1911,-4.916666666666629,-3.1833333333332803,8.099999999999909,0.0
1993,2.8250000000000455,-14.341666666666697,17.166666666666742,2.0
1984,-6.175000000000182,3.1499999999999773,9.32500000000016,2.0
1884,-0.691666666666606,-2.75,3.441666666666606,0.0
1974,-4.9249999999999545,-1.183333333333394,6.1083333333333485,0.0
1920,4.0,-2.2583333333334394,6.258333333333439,0.0
1935,19.658333333333303,18.15000000000009,37.808333333333394,0.0
1914,-14.275000000000091,9.066666666666606,23.341666666666697,0.0
1978,6.908333333333417,-21.841666666666697,28.750000000000114,0.0
1932,-10.191666666666606,-3.0249999999998636,13.21666666666647,0.0
1930,3.5833333333333712,18.899999999999864,22.483333333333235,0.0
1977,-10.850000000000136,-5.4249999999999545,16.27500000000009,1.0
1924,5.083333333333371,-0.5083333333334394,5.591666666666811,0.0
1944,-9.166666666666629,-0.341666666666697,9.508333333333326,0.0
1966,5.574999999999932,-10.774999999999864,16.349999999999795,1.0
1980,-3.516666666666538,0.9916666666665606,4.508333333333098,0.0
1964,11.24166666666656,3.3250000000000455,14.566666666666606,0.0
1946,-11.758333333333326,17.824999999999932,29.583333333333258,0.0
1950,14.324999999999932,-15.516666666666765,29.841666666666697,0.0
1970,-9.508333333333326,5.325000000000159,14.833333333333485,0.0
1937,-8.108333333333235,10.808333333333394,18.91666666666663,0.0
1958,15.399999999999864,-9.099999999999909,24.499999999999773,0.0
1954,5.308333333333394,3.5,8.808333333333394,0.0
1973,-22.924999999999955,-16.366666666666788,39.29166666666674,0.0
1968,16.574999999999932,-1.5,18.074999999999932,1.0
1893,-2.9166666666666288,8.82500000000016,11.741666666666788,0.0
1928,-10.024999999999977,1.066666666666606,11.091666666666583,0.0
1947,1.75,1.7333333333332348,3.483333333333235,0.0
1936,0.7416666666667879,1.724999999999909,2.466666666666697,0.0
1996,-4.016666666666765,-7.274999999999977,11.291666666666742,1.0
1908,-0.8333333333332575,3.5833333333333712,4.416666666666629,0.0
1918,-9.441666666666606,-9.091666666666583,18.53333333333319,0.0
1927,17.158333333333076,-5.9249999999999545,23.08333333333303,0.0
1912,1.3250000000001592,29.158333333333303,30.483333333333462,0.0
1900,-7.758333333333212,-16.02500000000009,23.783333333333303,0.0
1951,5.991666666666447,11.81666666666672,17.808333333333167,0.0
1899,8.991666666666788,-12.175000000000068,21.166666666666856,0.0
1916,-6.183333333333508,-10.100000000000023,16.28333333333353,0.0
1969,6.900000000000205,1.3249999999999318,8.225000000000136,0.0
1987,1.724999999999909,-4.100000000000023,5.824999999999932,1.0
1981,0.8250000000000455,11.225000000000023,12.050000000000068,1.0
1897,-12.75,3.1666666666667425,15.916666666666742,0.0
1972,4.316666666666606,-5.43333333333328,9.749999999999886,1.0
1905,8.74166666666656,2.824999999999932,11.566666666666492,0.0
1896,-5.508333333333212,7.458333333333371,12.966666666666583,0.0
1931,3.158333333333303,0.0,3.158333333333303,0.0
1925,-0.10000000000002274,-26.608333333333235,26.708333333333258,0.0
1903,-11.858333333333235,5.308333333333167,17.1666666666664,0.0
1923,-5.683333333333394,19.658333333333303,25.341666666666697,0.0
1910,0.6499999999998636,-0.41666666666662877,1.0666666666664923,0.0
1894,2.4166666666667425,4.991666666666788,7.40833333333353,0.0
1906,-0.008333333333212067,-3.0083333333333258,3.016666666666538,0.0
1889,4.049999999999841,-19.758333333333212,23.808333333333053,0.0
1952,-12.666666666666629,17.72499999999991,30.391666666666538,0.0
1955,11.058333333333167,3.5499999999999545,14.608333333333121,0.0
1904,5.150000000000091,13.066666666666606,18.216666666666697,0.0
1956,6.400000000000091,-16.35833333333335,22.75833333333344,0.0
1985,-7.699999999999818,-29.425000000000068,37.124999999999886,1.0
1942,-12.850000000000023,15.81666666666672,28.666666666666742,0.0
1941,16.25,9.38333333333344,25.63333333333344,0.0
1890,-1.8500000000000227,1.9750000000000227,3.8250000000000455,0.0
1965,-6.433333333333394,-4.550000000000068,10.983333333333462,0.0
1901,-10.25833333333344,2.4750000000001364,12.733333333333576,0.0
1907,7.641666666666765,-18.28333333333353,25.925000000000296,0.0
1940,12.483333333333235,5.825000000000159,18.308333333333394,0.0
2010,-20.266666666666538,0.5,20.766666666666538,2.0
1986,10.574999999999932,16.716666666666697,27.29166666666663,1.0
1902,-1.1083333333332348,-14.108333333333462,15.216666666666697,0.0
1979,0.3583333333331211,7.9500000000000455,8.308333333333167,0.0
1929,-4.799999999999841,-2.183333333333394,6.983333333333235,0.0
1922,8.958333333333258,4.225000000000023,13.18333333333328,0.0
1915,-11.433333333333167,-15.29999999999984,26.733333333333007,0.0
1962,0.6416666666665378,3.716666666666356,4.358333333332894,0.0
1963,8.066666666666606,-7.483333333333235,15.54999999999984,0.0
1886,-3.016666666666765,13.625,16.641666666666765,0.0
1917,8.791666666666856,-1.3000000000000682,10.091666666666924,0.0
1891,-6.291666666666515,6.966666666666811,13.258333333333326,0.0
1909,3.608333333333235,-0.3999999999998636,4.008333333333098,0.0
1888,-4.058333333333394,-6.100000000000136,10.15833333333353,0.0
1885,-11.958333333333485,3.7916666666667425,15.750000000000227,0.0
1919,7.216666666666697,14.049999999999955,21.26666666666665,0.0
1887,-4.308333333333167,-24.74166666666656,29.049999999999727,0.0
1895,26.39166666666665,-1.583333333333485,27.975000000000136,0.0
1892,-22.574999999999932,4.833333333333485,27.408333333333417,0.0
2024,-2.791666666666856,9.17499999999984,11.966666666666697,1.0
